Run,Generation,Fitness,Chromosome
20,331,0,"[-5.12, -5.054888331980956, -5.12, -5.12, -5.12, -5.096664410666806, -5.11061704702208, -5.011219312872782, -5.12, -5.12, -5.116359394240935, -5.0473250134783685, -5.12, -5.12, -5.12, -5.002976095990078, -5.12, -5.12, -5.092947437523723, -5.12, 1.2008640659307555, 0.03666948817036789, 0.531606409368726, 0.8948274724688213, 0.26612467438786563, 0.2502568667756025, 0.0010035550767794061, 0.19597393747015024, 0.17624539129103037, 0.1529303292773834, 2.471369769816245, 0.1287247493728273, 1.5438087641828777, 0.1950295281248221, 1.7071018295927785, 0.3938932473863741, 2.6534810762547534, 0.23218476952866618, 0.04775013230598315, 1.1936408926689932]"
21,4534,0,"[-5.12, -5.033170893496228, -5.061881921784605, -5.12, -5.099238163038693, -5.12, -5.0304303942278805, -5.008371858688287, -5.12, -5.12, -5.12, -5.12, -5.0011811559931365, -5.12, -5.069298841999078, -5.12, -5.12, -5.12, -5.068554743692787, -5.12, 0.3716878466009721, 0.7140747745641102, 0.04245714657563493, 0.21051318182687437, 0.007845755448792586, 0.027190824674961804, 0.06510529493578565, 0.2098633450843267, 3435.532441104598, 0.4518179727869514, 3.8084580320023944, 0.5663067309182155, 0.021211019726342893, 0.24794668432152536, 0.8147379478795922, 0.6189618527464508, 0.5644454620316317, 0.3147663148019645, 0.5914926792624505, 5.418849478669399]"
22,357,4,"[-5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.030134355543154, -5.12, -5.0131008836396465, -5.12, -5.12, -5.12, -5.12, -3.022854459840058, -5.10615921765179, -5.12, -5.12, -3.4586763829436498, 0.6368111737648282, 15.127457140534018, 0.9410972250828227, 0.7924017531673873, 2.4096582295692808, 47.95901950047571, 0.20913382712627468, 2.0076323050963847, 1.1521997894302423, 0.1279369639160057, 0.12029212414236608, 0.33345249519483183, 0.2385055937834902, 19.67531610799953, 6.477060084169121, 0.006560807500537037, 1.600576535992201, 9.33523256540092, 6.696218905383168, 0.016406634555436925]"
23,3009,4,"[-5.12, -5.042248789979227, -5.12, -5.12, -5.085653805636153, -5.12, -5.12, -5.12, -5.12, -5.12, -5.053895675408185, -5.0904371536924335, -5.12, -5.12, -5.12, -5.12, -5.12, -1.0040240689110393, -5.12, -5.047553347427668, 1.1077666443100822, 0.12652661038396204, 13.72091269596354, 33.8955694821547, 0.811337134896254, 4.479621081254118, 0.049584552460804676, 0.4037313778741301, 10.651583649785858, 4.1802678127107695, 0.10262727216992124, 0.021542479449855077, 5.318671973448827, 0.24150036632242944, 0.3718942562456333, 0.5558979394751508, 2.2874708718840826, 0.002073072976973692, 1.425939171859009, 3.4929074097399466]"
24,1361,3,"[-2.5487495971315632, -5.12, -5.12, -5.12, -5.092738030373366, -5.12, -5.12, -5.12, -5.12, -5.069000508721457, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.0006498239222, -5.12, -5.12, 0.004031435153832424, 1.899425425664862, 2.3964248035756635, 0.06102193376591681, 0.10785916016997325, 0.6776934471995611, 1.8546484823988454, 0.1739348619254055, 0.5389811685400359, 0.027264550564904903, 0.04583682372806014, 0.04478254612417585, 25.079074012548983, 0.12062039257029925, 6.2464716650116205, 0.015366310694401296, 1.5588393077148062, 0.34774929321063053, 0.3991287051263245, 13.904555058001334]"
25,985,5,"[-5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.074368091664624, -5.12, -5.0532357315392735, -5.12, -5.097241865392182, -5.12, -5.12, -5.106542382106387, -0.08406718636666857, -5.12, -5.12, -5.106818819571387, -5.044669129599642, -5.025117369691529, 0.4042292673518076, 0.26321845137540867, 5.157862349305781, 3.133742376900167, 5.078375374182921, 3.312906182141513, 2.0162999322538644, 0.31460201163410306, 0.029324800102577465, 2.3276001365527015, 0.0016009296851017113, 30.21224869582633, 0.29236473527345846, 0.45329871478712747, 0.00018516012135249055, 0.9507743090094656, 3.0128947900346525, 0.11111948760422233, 0.7346677022822796, 0.11083708436994473]"
26,398,4,"[-5.12, -5.12, -5.12, -5.026756942640849, -5.12, -4.102041480638493, -5.12, -5.12, -5.12, -5.12, -5.12, -5.070210222626894, -3.1378819148159693, -5.12, -5.12, -5.12, -4.001256459959532, -5.059206047339784, -5.12, -5.12, 26.997315411886458, 0.3235502132272811, 0.8499475356642677, 0.023610526526977323, 1.574271441218588, 5.550786687889218e-05, 0.18803508482003284, 436.78816026087156, 0.8145872219052867, 1.85565500173196, 9.91248435719996, 0.46520012440903663, 0.027716923930884107, 0.5467765087236005, 0.5351811724913016, 0.19498477072470552, 0.011585033588108074, 0.010696537919927595, 5.0215771990581235, 0.5121652086405444]"
27,241,4,"[-5.024588723239478, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.076731982037062, -5.062663562830915, -2.3277731233643584, -5.12, -4.302697649504625, -5.0823464483886225, -5.064993324283775, -5.12, -5.12, -5.12, -5.12, -5.12, 0.1087077218203303, 0.3180381956265976, 0.5863430668856487, 1.4353057198243186, 0.3412269295379528, 0.11413045833940767, 0.16966462747831665, 2.2548955921669642, 0.031870389697935986, 0.706574261857328, 0.002705256532423362, 6.402951943179508, 0.013067914428553491, 0.12255694986176566, 0.5588148689346051, 3.2684175748964193, 1.3438180086514826, 3.883450468922072, 0.9358498809981094, 47.5425731758814]"
28,450,7,"[-5.12, -5.08397530144514, -5.12, -5.080889712835598, -5.12, -5.12, -5.12, -5.12, -5.12, 1.9721962209323582, -5.12, -5.027144460045891, -5.113375589888274, -5.110356774123303, -5.12, -5.12, -5.000696653653295, -5.12, -5.12, -5.12, 1.100480493878971, 0.3698906595862269, 1.1340948619182916, 0.1050364649230176, 0.1739583180391626, 0.6396976112278591, 0.35367168279870526, 6.154631838430627, 0.14444632634114948, 0.031014945259026257, 0.19168041523594953, 0.07589682999037226, 4.528646778353597, 0.008470650598253747, 1.6284556346211136, 0.7855236628018958, 0.37464424697897963, 1.2394230918348499, 0.8591341668340868, 0.46314499698984174]"
29,2654,10,"[-5.12, -5.12, -5.12, -5.12, -5.12, -1.327120748632558, -5.12, -4.110484789464518, -5.12, -5.079692275090242, -5.12, -5.12, -5.12, -0.1878729852151736, -5.12, -5.12, -5.12, -5.12, -5.12, -5.118318181108012, 2.605393418922081, 0.6883824180164776, 1.032227176926297, 0.5559131833696663, 0.10686130102234029, 0.010189616208639285, 2.0026484944911616, 0.027009610404259688, 0.7500197970815157, 0.021343277321855023, 2.01621979319062, 0.41147373403952053, 3.815271957052491, 0.0010237504704662447, 2.464697204612386, 0.054622794435310866, 3.36804282501971, 0.44535401570529115, 0.5817165994665991, 0.0047984236539188665]"
